,source,FIPS,CountryName
1963,eldis.org,IN,India
1964,energynext.in,IN,India
1965,energysector.in,IN,India
1966,enidhi.net,IN,India
1967,entrepreneurindia.com,IN,India
1968,eprahaar.in,IN,India
1969,epw.in,IN,India
1970,equitybulls.com,IN,India
1971,errabus.com,IN,India
1972,espncricinfo.com,IN,India
1973,estatenclassifieds.com,IN,India
1974,etemaaddaily.com,IN,India
1975,evartha.in,IN,India
1976,exchange4media.com,IN,India
1977,explorejobs.in,IN,India
1978,fashionunited.in,IN,India
1979,femina.in,IN,India
1980,fibre2fashion.com,IN,India
1981,filmfare.com,IN,India
1982,filmibeat.com,IN,India
1983,filmsofindia.com,IN,India
1984,finance.indiaeveryday.in,IN,India
1985,financialexpress.com,IN,India
1986,financialprospect.com,IN,India
1987,firstindianews.com,IN,India
1988,firstpost.com,IN,India
1989,fitnhit.com,IN,India
1990,fnbnews.com,IN,India
1991,focusnews.com,IN,India
1992,fonearena.com,IN,India
1993,forbesindia.com,IN,India
1994,formula1.com,IN,India
1995,franchiseindia.com,IN,India
1996,freepressjournal.in,IN,India
1997,fresherslive.com,IN,India
1998,frontline.in,IN,India
1999,gaadi.com,IN,India
2000,gadget.punjabkesari.in,IN,India
2001,galaxyreporter.com,IN,India
2002,gatewayhouse.in,IN,India
2003,gizbot.com,IN,India
2004,gizmodo.in,IN,India
2005,gizmolead.com,IN,India
2006,gktoday.in,IN,India
2007,glamsham.com,IN,India
2008,globalcement.com,IN,India
2009,goacom.com,IN,India
2010,goanews.com,IN,India
2011,gomolo.com,IN,India
2012,goodreturns.in,IN,India
2013,governancenow.com,IN,India
2014,gqindia.com,IN,India
2015,greatandhra.com,IN,India
2016,greaterkashmir.com,IN,India
2017,greatindiannews.com,IN,India
2018,gujaratsamachar.com,IN,India
2019,gulte.com,IN,India
2020,haribhoomi.com,IN,India
2021,haritkhabar.com,IN,India
2022,haryana.punjabkesari.in,IN,India
2023,hastakshep.com,IN,India
2024,headwaysolar.com,IN,India
2025,healthmeup.com,IN,India
2026,heraldgoa.in,IN,India
2027,hiindialive.com,IN,India
2028,hillpost.in,IN,India
2029,himachal.punjabkesari.in,IN,India
2030,himanshusheth.net,IN,India
2031,himvani.com,IN,India
2032,hinduexistence.org,IN,India
2033,hindupad.com,IN,India
2034,hindustantimes.com,IN,India
2035,huffingtonpost.in,IN,India
2036,hungryforever.com,IN,India
2037,iamin.in,IN,India
2038,iamwire.com,IN,India
2039,ianslive.in,IN,India
2040,ibcworldnews.com,IN,India
2041,ibn7.com,IN,India
2042,ibnlive.com,IN,India
2043,ibtimes.co.in,IN,India
2044,idiva.com,IN,India
2045,idrw.org,IN,India
2046,idsa.in,IN,India
2047,igovernment.in,IN,India
2048,iitm.ac.in,IN,India
2049,iluvcinema.in,IN,India
2050,in.com,IN,India
2051,inc42.com,IN,India
2052,india-briefing.com,IN,India
2053,india-forums.com,IN,India
2054,india.com,IN,India
2055,indiablooms.com,IN,India
2056,indiacurrents.com,IN,India
2057,indiaeducationdiary.in,IN,India
2058,indiaedunews.net,IN,India
2059,indiagazette.com,IN,India
2060,indiaglitz.com,IN,India
2061,indiainfoline.com,IN,India
2062,indianautosblog.com,IN,India
2063,indiancarsbikes.in,IN,India
2064,indiancooperative.com,IN,India
2065,indianexpress.com,IN,India
2066,indiankanoon.org,IN,India
2067,indiannavy.nic.in,IN,India
2068,indiannerve.com,IN,India
2069,indianpowersector.com,IN,India
2070,indianretailer.com,IN,India
2071,indiansplanet.com,IN,India
2072,indiantelevision.com,IN,India
2073,indianwineacademy.com,IN,India
2074,indiapost.com,IN,India
2075,indiaprwire.com,IN,India
2076,indiaretailing.com,IN,India
2077,indiaspend.com,IN,India
2078,indiatimes.com,IN,India
2079,indiatoday.intoday.in,IN,India
2080,indiatribune.com,IN,India
2081,indiatvnews.com,IN,India
2082,indiavision.com,IN,India
2083,indiawaterportal.org,IN,India
2084,indiawest.com,IN,India
2085,indileak.com,IN,India
2086,indolink.com,IN,India
2087,indread.com,IN,India
2088,infochangeindia.org,IN,India
2089,infotechlead.com,IN,India
2090,innlivenews.in,IN,India
2091,instantkhabar.com,IN,India
2092,internationalreporter.com,IN,India
2093,investinindia.com,IN,India
2094,iplt20.com,IN,India
2095,itvnewsindia.com,IN,India
2096,itvoir.com,IN,India
2097,iwatchindia.com,IN,India
2098,jaagore.com,IN,India
2099,jagopunjabjagoindia.com,IN,India
2100,jagran.com,IN,India
2101,jagranjosh.com,IN,India
2102,janmabhumidaily.com,IN,India
2103,jansatta.com,IN,India
2104,janwarta.com,IN,India
2105,justbollywood.in,IN,India
2106,justtelugu.com,IN,India
2107,kabarnet.in,IN,India
2108,kafila.org,IN,India
2109,kanglaonline.com,IN,India
2110,kannadaprabha.com,IN,India
2111,kashmirdispatch.com,IN,India
2112,kashmirglobal.com,IN,India
2113,kashmirlife.net,IN,India
2114,kashmirmonitor.in,IN,India
2115,kashmirobserver.net,IN,India
2116,kashmirreader.com,IN,India
2117,kashmirtimes.com,IN,India
2118,kashmirtimes.in,IN,India
